year,film,actor,characters,imdb,gender,race,race_simple,words,sentences
2017,the-shape-of-water,Morgan Kelly,PIE GUY,http://www.imdb.com/name/nm1225457/,male,White/Caucasian,White,303.0,51.0
2017,the-shape-of-water,Nick Searcy,GENERAL HOYT,http://www.imdb.com/name/nm0780678/,male,White/Caucasian,White,379.0,58.0
2017,the-shape-of-water,Nigel Bennett,MIHALKOV,http://www.imdb.com/name/nm0000911/,male,White/Caucasian,White,253.0,49.0
2017,the-shape-of-water,Octavia Spencer,ZELDA,http://www.imdb.com/name/nm0818055,female,Black/African American,POC,1319.0,201.0
2017,the-shape-of-water,Richard Jenkins,GILES + GILES / NARRATOR,http://www.imdb.com/name/nm0420955/,male,White/Caucasian,White,1935.0,318.0
2017,the-shape-of-water,Stewart Arnott,BERNIE,http://www.imdb.com/name/nm0036732/,male,White/Caucasian,White,156.0,31.0
2017,three-billboards-outside-ebbing-missouri,Abbie Cornish,ANNE,http://www.imdb.com/name/nm0180411/,female,White/Caucasian,White,220.0,42.0
2017,three-billboards-outside-ebbing-missouri,Brendan Sexton III,CROP-HAIRED GUY,http://www.imdb.com/name/nm0786639/,male,White/Caucasian,White,266.0,37.0
2017,three-billboards-outside-ebbing-missouri,Caleb Landry Jones,RED,http://www.imdb.com/name/nm2655177/,male,White/Caucasian,White,502.0,75.0
2017,three-billboards-outside-ebbing-missouri,Clarke Peters,ABERCROMBIE,http://www.imdb.com/name/nm0676370/,male,Black/African American,POC,378.0,43.0
2017,three-billboards-outside-ebbing-missouri,Darrell Britt-Gibson,JEROME,http://www.imdb.com/name/nm2888524/,male,Black/African American,POC,163.0,22.0
2017,three-billboards-outside-ebbing-missouri,Frances McDormand,MILDRED,http://www.imdb.com/name/nm0000531/,female,White/Caucasian,White,2312.0,297.0
2017,three-billboards-outside-ebbing-missouri,John Hawkes,CHARLIE,http://www.imdb.com/name/nm0370035/,male,White/Caucasian,White,421.0,49.0
2017,three-billboards-outside-ebbing-missouri,Kathryn Newton,ANGELA,http://www.imdb.com/name/nm1105980/,female,White/Caucasian,White,143.0,19.0
2017,three-billboards-outside-ebbing-missouri,Kerry Condon,PAMELA,http://www.imdb.com/title/tt5027774/fullcredits,female,White/Caucasian,White,131.0,22.0
2017,three-billboards-outside-ebbing-missouri,Lucas Hedges,ROBBIE,http://www.imdb.com/name/nm2348627/,male,White/Caucasian,White,314.0,40.0
2017,three-billboards-outside-ebbing-missouri,Malaya Rivera Drew,GABRIELLA,http://www.imdb.com/name/nm1371862/,female,2+ Race,POC,241.0,11.0
2017,three-billboards-outside-ebbing-missouri,Nick Searcy,FATHER MONTGOMERY,http://www.imdb.com/name/nm0780678/,male,White/Caucasian,White,162.0,17.0
2017,three-billboards-outside-ebbing-missouri,Peter Dinklage,JAMES,http://www.imdb.com/name/nm0227759/,male,White/Caucasian,White,258.0,33.0
2017,three-billboards-outside-ebbing-missouri,Sam Rockwell,DIXON,http://www.imdb.com/name/nm0005377/,male,White/Caucasian,White,1437.0,226.0
2017,three-billboards-outside-ebbing-missouri,Samara Weaving,PENELOPE,http://www.imdb.com/name/nm3034977/,female,White/Caucasian,White,166.0,21.0
2017,three-billboards-outside-ebbing-missouri,Sandy Martin,MOMMA,http://www.imdb.com/name/nm0553036/,female,White/Caucasian,White,190.0,32.0
2017,three-billboards-outside-ebbing-missouri,Woody Harrelson,WILLOUGHBY,http://www.imdb.com/name/nm0000437/,male,White/Caucasian,White,1829.0,167.0
2017,three-billboards-outside-ebbing-missouri,Zeljko Ivanek,DESK SERGEANT,http://www.imdb.com/name/nm0411964/,male,White/Caucasian,White,347.0,42.0
